0.000000000000000000e+00 1.436000000000000000e+03 1.436000000000000000e+03 1.436000000000000000e+03 1.436000000000000000e+03 1.436000000000000000e+03 1.436000000000000000e+03 1.436000000000000000e+03
1.989842902980386574e+00 1.422408208720638413e+03 1.410147296548188251e+03 1.436000000000000000e+03 1.436000000000000000e+03 1.436000000000000000e+03 1.436000000000000000e+03 1.436000000000000000e+03
4.004842637545607431e+00 6.086958777680259800e+02 4.910608403390355079e+02 1.436000000000000000e+03 1.436000000000000000e+03 1.436000000000000000e+03 1.436000000000000000e+03 1.435999999999882448e+03
5.978677932149162544e+00 4.169132546150622716e+02 4.118283332757970356e+02 1.436000000000000000e+03 1.435999999999990223e+03 1.435999999998960448e+03 1.436000000000000000e+03 1.435999999213494448e+03
8.009827062871599068e+00 4.050974082169336725e+02 4.038315407196751039e+02 1.436000000000000000e+03 1.435999999993376150e+03 1.435999999886390015e+03 1.436000000000000000e+03 1.435999765371602734e+03
1.002021572675855765e+01 4.023634313292570823e+02 4.018273471919781059e+02 1.436000000000000000e+03 1.435999999560739070e+03 1.435999996646430873e+03 1.436000000000000000e+03 1.435987692604317317e+03
1.202481123235936167e+01 4.011247570487896041e+02 4.009427260020959807e+02 1.436000000000000000e+03 1.435999992042108033e+03 1.435999961746432291e+03 1.436000000000000000e+03 1.435808022991383496e+03
1.398274579466876233e+01 4.006369678509607297e+02 4.005835158964328571e+02 1.435999999999992497e+03 1.435999949087506138e+03 1.435999790357637721e+03 1.436000000000000000e+03 1.434836169905030147e+03
1.606566173067565373e+01 4.004768545634294696e+02 4.004726582451254444e+02 1.435999999999967713e+03 1.435999846724372674e+03 1.435999280888424437e+03 1.436000000000000000e+03 1.432514500412564075e+03
1.801166380513506482e+01 4.005164805055005104e+02 4.005390002401154561e+02 1.435999999998368367e+03 1.435999700697199387e+03 1.435998343139459166e+03 1.436000000000000000e+03 1.430116400699810811e+03
2.006989920552582873e+01 4.023052409559292641e+02 4.015551656804758522e+02 1.081611915388555190e+03 1.435999505426943415e+03 1.435996729896151464e+03 1.436000000000000000e+03 1.428053460026365428e+03
2.203393403339934764e+01 4.087589963223512086e+02 4.046254056471527178e+02 4.351795280330952096e+02 1.435999276920613511e+03 1.435994274167130698e+03 1.436000000000000000e+03 1.425325446531627222e+03
