0	1331.649586	1482.426907	1506.062894	1160.233746	1462.693235	1504.494871	1048.62011
60	1261.649601	1482.429384	1546.408968	926.3926298	1456.565219	1507.88387	889.0064752
120	1169.649616	745.3302081	1082.213725	816.9494595	1245.318406	1454.27606	829.9998162
180	1065.649631	673.09261	879.5759161	750.1985276	1023.498013	1209.501013	744.9654494
240	925.6496457	689.6707565	748.2699044	645.0563171	880.9695735	995.7882353	645.0591756
300	809.6496607	459.2524899	668.9583077	579.2581568	821.7414181	916.8038407	577.1384074
360	746.6496758	538.9628779	589.3627455	555.0922299	718.2562506	824.537451	526.9152092
420	647.6496908	406.9326006	525.1062904	495.7921226	626.6534342	729.4102484	534.8655374
480	596.6497058	431.4762475	510.7415678	479.7755307	569.1813321	638.5740385	507.8270701
540	572.6497208	458.3741425	519.9077509	483.2384569	560.1496073	638.5745907	495.910284
600	556.6497358	437.5617461	500.7106969	493.3404324	536.7989733	563.5944099	512.5756075
660	539.6497508	448.0686192	485.2360849	544.8235728	527.7339774	538.9959558	515.6576071
720	526.6497658	440.1832456	473.5832995	492.9906132	498.654791	552.7123663	533.4515257
780	516.6497808	470.8844224	488.9149059	494.7407648	508.0203417	535.4297798	517.3446461
840	503.6497958	448.3692943	469.2702873	484.9738607	526.9669776	519.9847805	512.0237
900	498.6498108	470.5901241	486.845018	492.2912912	518.229087	523.5076179	503.946263
960	494.1498183	451.3110274	462.265293	483.1019654	522.3368743	506.315398	521.8505653
1020	489.6498258	431.4985392	460.2391881	473.9126396	507.775876	495.3041457	507.5649299
1080	488.6498409	423.7339657	464.9728366	468.7646404	510.0662747	497.4988011	508.9600483
1140	489.6498559	470.0017655	486.1566344	468.7646404	502.7115423	493.115269	530.3391432
1200	487.6498709	441.6594472	477.9138706	486.3640769	517.2167974	504.1069814	530.6238637
1260	487.6498859	474.2012466	475.4062481	496.1427864	513.3859261	483.1574374	530.9085843
1320	488.6499009	459.2945963	478.8275727	478.0480048	537.3477261	494.6807771	517.0784871
1380	488.6499159	480.8290586	472.9039333	489.498221	508.0442064	517.4345414	525.8130065
1440	488.6499309	447.8076525	475.1792518	498.2489883	534.4945155	500.958327	530.3464277
1500	489.6499459	470.0859672	470.6335346	509.1917351	531.12763	518.0739386	509.5287458
